GEMEENTE;JAAR;PERIODE;BELEIDSPROGRAMMA;ORGANISATIE; SUBSIDIE BESCHIKT ;BEKOSTIGD UIT RIJKSINKOMSTEN;WETTELIJKE TAAK;GLOBAAL OVERZICHT GESUBSIDIEERDE ACTIVITEITEN
Vlaardingen;2017;Q1;Programma Veiligheid en Handhaving;Stichting Vlaardingen in Beweging ; 30.000,00 ;Nee;Nee;"Dit project richt zich de komende 2 jaar op sociaal maatschappelijke thema's voor inwoners van de Westwijk. Dit project richt zich in beginsel op de doelgroep 4-12 jarigen.
In samenwerking met Voetbalvereniging DVO'32, onderwijs en de diverse maatschappelijke organisaties en instellingen wordt door de buurtsportcoach een programma aan sport en beweegactiviteiten opgezet. 
Deze activiteiten dragen bij aan een beter woon- en leefklimaat. Doelstelling van dit project is ondermeer het terugdringen van de jeugdoverlast in de Westwijk. Daarnaast is er aandacht voor een gezonde leefstijl, sociale cohesie en sportparticipatie. 



"
Vlaardingen;2017;Q1;Programma Groen en Milieu;Stichting Platform Ander Vlaardingen; 4.000,00 ;Nee;Nee;Activiteiten op het gebied van duurzaamheid, te weten Fair Trade / Maatschappelijk Verantwoord Ondernemen.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Lokale Omroep Vlaardingen; 45.202,00 ;Ja;Ja;Het programma-aanbod bestaat voor ten minste 50% uit onderdelen die van informatieve, culturele en educatieve aard zijn(in casu 56 uur van de in totaal 112 uur zendtijd per week). Dit is een wettelijke verplichting die voortvloeit uit artikel 2:70 van de Mediawet.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;"Stichting Jongeren Cultuurcentrum Vlaardingen ""De Kroepoekfabriek"""; 120.000,00 ;Nee;Nee;1. aanbieden van jongerencultuurprogramma, 2. organiseren van culturele evenementen, 3. aanbieden van cultuureducatie en talentcoaching.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Museum Vlaardingen; 415.985,00 ;Nee;Nee;1. beheren en behouden van de collectie erfgoederen, 2. het presenteren van de collectie voor een breed publiek tentoonstellingen en presentaties, 3. het organiseren van cultuureducatieve activiteiten die de collectie actief en receptief verklaren, 4. het verzorgen van een toeristeninformatiefunctie.
Vlaardingen;2017;Q1;Programma Kunst en Cultuur;Stichting Centrum Kunsteducatie Kade 40; 612.765,00 ;Nee;Nee;"1a. de organisatie en coördinatie van Vlaardingse schatten voor leerlingen in het primair onderwijs, 1b. maatwerk activiteiten voor leerlingen in het primair en voortgezet onderwijs, 2 de coördinatie van en het plaatsbieden aan een cursusaanbod, 3a. de organisatie van de kunstuitleen, 3b. de organisatie van de tentoonstellingsfunctie en overige activiteiten in de exploitatie van het pand.
"
Vlaardingen;2017;Q1;Programma Onderwijs, economie en haven;Stichting TechNet Nieuwe Waterweg Noord; 32.000,00 ;Nee;Nee;Het verrichten van activiteiten op het gebied van onderwijs en techniek, zoals een teckniekweek voor het basisonderwijs, leerlingen in het VMBO, ouderbijeenkomsten techniek, docentendag techniek, beroepenmanifestatie.
Vlaardingen;2017;Q1;Programma Onderwijs, economie en haven;Stichting Zorg voor Onderwijs Nieuwe Waterweg Noord; 82.290,00 ;Ja;Ja;Activiteiten ter voorkoming van voortijdig schoolverlaten.
Vlaardingen;2017;Q1;Programma Onderwijs, economie en haven;Stichting Aanzet; 792.512,00 ;Ja;Ja;Activiteiten voor het bieden van onderwijskansen.
Vlaardingen;2017;Q1;Programma Onderwijs, economie en haven;UN1EK kinderopvang B.V.; 896.477,00 ;Ja;Ja;Activiteiten in het kader van het peuterspeelzaalwerk.
Vlaardingen;2017;Q1;Programma Sociaal domein;Katholieke Bond van Ouderen (KBO); 600,00 ;Nee;Nee;Activiteiten ten behoeve van belangenbehartiging van ouderen in Vlaardingen en van ontspannende activiteiten voor deze doelgroep.
